Year,Dominant_Strain,Geographic_Region,Mutation_Rate,Vaccination_Effectiveness,Reported_Cases,Severity_Index
2005,Influenza B,Europe,0.1262520499972521,37.32229409068673,73247,1.12671840443576
2006,H5N1,North America,0.036503833523887946,59.71061460667621,74300,2.7895816367992463
2007,H1N1,Europe,0.06550748322169145,32.063311266913104,132798,7.4020775747378496
2008,Influenza B,South America,0.07960875022580143,84.55922412472692,59268,8.11157986478085
2009,Influenza B,South America,0.09665329700123683,45.52679889600101,398951,6.453639773029103
2010,H5N1,Europe,0.1591834326646726,69.75133706123893,324329,9.336707906620141
2011,H1N1,Europe,0.047938018610088354,48.70266456536466,244776,6.8596932295175
2012,H1N1,Europe,0.1077045432985862,61.20408127066865,267851,9.234637079894027
2013,Influenza B,South America,0.12255876808378806,62.80261676059678,482315,8.650347200108193
2014,H3N2,South America,0.01882557841679957,41.091267331531625,451787,5.045056067243831
2015,Influenza B,North America,0.1254335218612733,88.17507766587352,286584,1.8586910484137018
2016,Influenza B,North America,0.04239958350058539,76.50796940166687,88044,4.3373642697843975
2017,Influenza B,South America,0.02235980266720311,86.36993649385136,363358,7.019571273972465
2018,Influenza B,Europe,0.19028825207813332,83.68964102565893,426896,6.99330120955747
2019,H5N1,Europe,0.1934700862841663,65.8739987286651,98984,6.321680089369544
2020,H1N1,North America,0.16359549614212762,85.312454101387,352918,3.4724961369105776
2021,H5N1,South America,0.06787661614294042,35.30955012311517,314712,6.0511908326293105
2022,H5N1,North America,0.028557701661212936,41.75897174514871,170151,4.446341872784108
2023,H5N1,North America,0.14000427503730983,32.71363733463228,183767,9.745408858501934
2024,Influenza B,Asia,0.09362897381052425,49.519819845795865,174375,8.640224418394755
